file_name;char_used;perc_printable
xortool_out/0000.out;0;62.0
xortool_out/0001.out;0;58.0
xortool_out/0002.out;0;57.0
xortool_out/0003.out;0;57.0
xortool_out/0004.out;0;58.0
xortool_out/0005.out;0;57.0
xortool_out/0006.out;0;61.0
xortool_out/0007.out;0;61.0
xortool_out/0008.out;0;63.0
xortool_out/0009.out;1;61.0
xortool_out/0010.out;1;59.0
xortool_out/0011.out;1;57.0
xortool_out/0012.out;1;57.0
xortool_out/0013.out;1;58.0
xortool_out/0014.out;1;57.0
xortool_out/0015.out;1;61.0
xortool_out/0016.out;1;61.0
xortool_out/0017.out;1;63.0
xortool_out/0018.out;2;63.0
xortool_out/0019.out;2;63.0
xortool_out/0020.out;2;60.0
xortool_out/0021.out;2;60.0
xortool_out/0022.out;2;60.0
xortool_out/0023.out;2;60.0
xortool_out/0024.out;2;63.0
xortool_out/0025.out;2;64.0
xortool_out/0026.out;2;65.0
xortool_out/0027.out;3;63.0
xortool_out/0028.out;3;62.0
xortool_out/0029.out;3;60.0
xortool_out/0030.out;3;60.0
xortool_out/0031.out;3;58.0
xortool_out/0032.out;3;60.0
xortool_out/0033.out;3;63.0
xortool_out/0034.out;3;64.0
xortool_out/0035.out;3;65.0
xortool_out/0036.out;4;64.0
xortool_out/0037.out;4;63.0
xortool_out/0038.out;4;61.0
xortool_out/0039.out;4;61.0
xortool_out/0040.out;4;60.0
xortool_out/0041.out;4;60.0
xortool_out/0042.out;4;64.0
xortool_out/0043.out;4;65.0
xortool_out/0044.out;4;65.0
xortool_out/0045.out;5;65.0
xortool_out/0046.out;5;63.0
xortool_out/0047.out;5;61.0
xortool_out/0048.out;5;61.0
xortool_out/0049.out;5;60.0
xortool_out/0050.out;5;61.0
xortool_out/0051.out;5;65.0
xortool_out/0052.out;5;65.0
xortool_out/0053.out;5;66.0
xortool_out/0054.out;6;62.0
xortool_out/0055.out;6;59.0
xortool_out/0056.out;6;59.0
xortool_out/0057.out;6;57.0
xortool_out/0058.out;6;59.0
xortool_out/0059.out;6;58.0
xortool_out/0060.out;6;62.0
xortool_out/0061.out;6;61.0
xortool_out/0062.out;6;63.0
xortool_out/0063.out;7;63.0
xortool_out/0064.out;7;61.0
xortool_out/0065.out;7;58.0
xortool_out/0066.out;7;60.0
xortool_out/0067.out;7;60.0
xortool_out/0068.out;7;58.0
xortool_out/0069.out;7;63.0
xortool_out/0070.out;7;63.0
xortool_out/0071.out;7;64.0
xortool_out/0072.out;8;60.0
xortool_out/0073.out;8;55.0
xortool_out/0074.out;8;58.0
xortool_out/0075.out;8;57.0
xortool_out/0076.out;8;59.0
xortool_out/0077.out;8;57.0
xortool_out/0078.out;8;60.0
xortool_out/0079.out;8;59.0
xortool_out/0080.out;8;61.0
xortool_out/0081.out;9;71.0
xortool_out/0082.out;9;66.0
xortool_out/0083.out;9;66.0
xortool_out/0084.out;9;68.0
